timestamp,src,dst,proto,pkt_len,dataset,prediction
2025-12-06 00:27:59,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:59,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:59,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:59,172.26.57.223,172.26.57.105,6,115,NSL-KDD,normal
2025-12-06 00:27:59,172.26.57.223,172.26.57.105,6,103,NSL-KDD,normal
2025-12-06 00:27:59,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:59,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:59,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:59,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:59,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:00,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:28:00,104.18.39.21,172.26.57.105,6,78,NSL-KDD,normal
2025-12-06 00:28:00,172.26.57.105,104.18.39.21,6,82,NSL-KDD,normal
2025-12-06 00:28:00,104.18.39.21,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:00,172.26.57.105,172.26.57.223,17,99,NSL-KDD,normal
2025-12-06 00:28:00,172.26.57.105,172.26.57.223,17,99,NSL-KDD,normal
2025-12-06 00:28:00,172.26.57.223,172.26.57.105,17,418,NSL-KDD,normal
2025-12-06 00:28:00,172.26.57.223,172.26.57.105,17,244,NSL-KDD,normal
2025-12-06 00:28:00,172.26.57.105,140.82.114.22,6,66,NSL-KDD,normal
2025-12-06 00:28:01,172.26.57.105,20.189.173.4,6,66,NSL-KDD,normal
2025-12-06 00:28:01,172.26.57.105,140.82.114.22,6,66,NSL-KDD,normal
2025-12-06 00:28:01,3.33.221.48,172.26.57.105,6,160,NSL-KDD,normal
2025-12-06 00:28:01,172.26.57.105,3.33.221.48,6,101,NSL-KDD,normal
2025-12-06 00:28:01,3.33.221.48,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:01,172.26.57.105,140.82.114.22,6,66,NSL-KDD,normal
2025-12-06 00:28:04,172.26.57.105,20.189.173.4,6,66,NSL-KDD,normal
2025-12-06 00:28:05,13.204.106.34,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:05,172.26.57.105,13.204.106.34,6,54,NSL-KDD,normal
2025-12-06 00:28:06,172.26.57.104,224.0.0.251,17,78,NSL-KDD,normal
2025-12-06 00:28:06,172.26.57.104,224.0.0.251,17,282,NSL-KDD,normal
2025-12-06 00:28:08,172.26.57.105,174.129.191.240,6,54,NSL-KDD,normal
2025-12-06 00:28:08,172.26.57.105,172.26.57.223,17,96,NSL-KDD,normal
2025-12-06 00:28:08,172.26.57.105,172.26.57.223,17,96,NSL-KDD,normal
2025-12-06 00:28:08,172.26.57.223,172.26.57.105,17,332,NSL-KDD,normal
2025-12-06 00:28:08,172.26.57.223,172.26.57.105,17,183,NSL-KDD,normal
2025-12-06 00:28:09,172.26.57.105,52.1.218.114,6,66,NSL-KDD,normal
2025-12-06 00:28:09,52.1.218.114,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:28:09,172.26.57.105,52.1.218.114,6,54,NSL-KDD,normal
2025-12-06 00:28:09,172.26.57.105,52.1.218.114,6,416,NSL-KDD,normal
2025-12-06 00:28:09,52.1.218.114,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:09,52.1.218.114,172.26.57.105,6,1434,NSL-KDD,normal
2025-12-06 00:28:09,52.1.218.114,172.26.57.105,6,1434,NSL-KDD,normal
2025-12-06 00:28:09,172.26.57.105,52.1.218.114,6,54,NSL-KDD,normal
2025-12-06 00:28:09,52.1.218.114,172.26.57.105,6,1434,NSL-KDD,normal
2025-12-06 00:28:09,52.1.218.114,172.26.57.105,6,176,NSL-KDD,normal
2025-12-06 00:28:09,172.26.57.105,52.1.218.114,6,54,NSL-KDD,normal
2025-12-06 00:28:09,172.26.57.105,52.1.218.114,6,147,NSL-KDD,normal
2025-12-06 00:28:10,52.1.218.114,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:10,52.1.218.114,172.26.57.105,6,258,NSL-KDD,normal
2025-12-06 00:28:10,172.26.57.105,52.1.218.114,6,225,NSL-KDD,normal
2025-12-06 00:28:10,172.26.57.105,52.1.218.114,6,1108,NSL-KDD,normal
2025-12-06 00:28:10,52.1.218.114,172.26.57.105,6,108,NSL-KDD,normal
2025-12-06 00:28:10,172.26.57.105,52.1.218.114,6,937,NSL-KDD,normal
2025-12-06 00:28:11,52.1.218.114,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:28:11,52.1.218.114,172.26.57.105,6,608,NSL-KDD,normal
2025-12-06 00:28:11,172.26.57.128,224.0.0.251,17,103,NSL-KDD,normal
2025-12-06 00:28:11,172.26.57.105,52.1.218.114,6,54,NSL-KDD,normal
2025-12-06 00:28:13,172.26.57.105,172.26.57.223,17,92,NSL-KDD,normal
2025-12-06 00:28:13,172.26.57.105,172.26.57.223,17,92,NSL-KDD,normal
2025-12-06 00:28:13,172.26.57.223,172.26.57.105,17,212,NSL-KDD,normal
2025-12-06 00:28:13,172.26.57.223,172.26.57.105,17,224,NSL-KDD,normal
2025-12-06 00:28:13,172.26.57.105,20.189.173.24,6,66,NSL-KDD,normal
2025-12-06 00:28:14,20.189.173.24,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:28:14,104.18.39.21,172.26.57.105,6,78,NSL-KDD,normal
2025-12-06 00:28:14,172.26.57.105,104.18.39.21,6,82,NSL-KDD,normal
2025-12-06 00:28:15,104.18.39.21,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:15,20.189.173.24,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:28:17,20.189.173.24,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:28:21,20.189.173.24,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:28:25,13.204.106.34,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:25,172.26.57.105,13.204.106.34,6,54,NSL-KDD,normal
2025-12-06 00:28:26,172.26.57.105,172.26.57.223,17,77,NSL-KDD,normal
2025-12-06 00:28:26,172.26.57.105,172.26.57.223,17,77,NSL-KDD,normal
2025-12-06 00:28:26,172.26.57.223,172.26.57.105,17,197,NSL-KDD,normal
2025-12-06 00:28:26,172.26.57.223,172.26.57.105,17,240,NSL-KDD,normal
2025-12-06 00:28:26,54.84.119.159,172.26.57.105,6,85,NSL-KDD,normal
